# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['9s', '6s']","['8d', '8s']","['7d', '4h']",,,1,1
0,Pre-Flop,1,0,0,CALL,0,"['9s', '6s']","['8d', '8s']","['7d', '4h']",,,2,2
0,Flop,0,0,0,CHECK,0,"['9s', '6s']","['8d', '8s']","['7d', '4h', '6d']",,,100,100
0,Flop,1,0,0,DISCARD,0,"['9s', '6s']","['8d', '8s']","['7d', '4h', '6d']",,,100,100
0,Flop,1,0,0,CHECK,0,"['9s', '6s']","['9h', '8s']","['7d', '4h', '6d']",,8d,100,100
0,Turn,0,0,0,CHECK,0,"['9s', '6s']","['9h', '8s']","['7d', '4h', '6d', '2h']",,8d,100,100
0,Turn,1,0,0,FOLD,0,"['9s', '6s']","['9h', '8s']","['7d', '4h', '6d', '2h']",,8d,100,100
1,Pre-Flop,1,100,-100,CALL,0,"['6s', '9d']","['7d', '8d']","['2s', '3d']",,,1,1
1,Pre-Flop,0,100,-100,RAISE,98,"['6s', '9d']","['7d', '8d']","['2s', '3d']",,,2,2
1,Pre-Flop,1,100,-100,CALL,0,"['6s', '9d']","['7d', '8d']","['2s', '3d']",,,2,2
1,Flop,1,100,-100,CHECK,0,"['6s', '9d']","['7d', '8d']","['2s', '3d', '7h']",,,100,100
1,Flop,0,100,-100,CHECK,0,"['6s', '9d']","['7d', '8d']","['2s', '3d', '7h']",,,100,100
1,Turn,1,100,-100,FOLD,0,"['6s', '9d']","['7d', '8d']","['2s', '3d', '7h', '5h']",,,100,100
2,Pre-Flop,0,200,-200,RAISE,98,"['2s', '8d']","['5d', '2h']","['As', '5s']",,,1,1
2,Pre-Flop,1,200,-200,CALL,0,"['2s', '8d']","['5d', '2h']","['As', '5s']",,,2,2
2,Flop,0,200,-200,CHECK,0,"['2s', '8d']","['5d', '2h']","['As', '5s', '9h']",,,100,100
2,Flop,1,200,-200,FOLD,0,"['2s', '8d']","['5d', '2h']","['As', '5s', '9h']",,,100,100
3,Pre-Flop,1,300,-300,CALL,0,"['5s', '4s']","['As', '6h']","['8d', '9h']",,,1,1
3,Pre-Flop,0,300,-300,RAISE,98,"['5s', '4s']","['As', '6h']","['8d', '9h']",,,2,2
3,Pre-Flop,1,300,-300,FOLD,0,"['5s', '4s']","['As', '6h']","['8d', '9h']",,,2,2
4,Pre-Flop,0,302,-302,RAISE,98,"['7h', '9s']","['4h', '5d']","['8h', '6h']",,,1,1
4,Pre-Flop,1,302,-302,CALL,0,"['7h', '9s']","['4h', '5d']","['8h', '6h']",,,2,2
