# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,"['2s', '2d']","['5d', '8h']","['7d', '7s']",,,1,1
0,Pre-Flop,1,0,0,RAISE,98,"['2s', '2d']","['5d', '8h']","['7d', '7s']",,,2,2
0,Pre-Flop,0,0,0,CALL,0,"['2s', '2d']","['5d', '8h']","['7d', '7s']",,,2,2
0,Flop,0,0,0,FOLD,0,"['2s', '2d']","['5d', '8h']","['7d', '7s', 'Ah']",,,100,100
1,Pre-Flop,1,-100,100,RAISE,98,"['3h', '8h']","['4h', '5d']","['5h', '8s']",,,1,1
1,Pre-Flop,0,-100,100,DISCARD,0,"['3h', '8h']","['4h', '5d']","['5h', '8s']",,,2,2
1,Pre-Flop,0,-100,100,CALL,0,"['2s', '8h']","['4h', '5d']","['5h', '8s']",3h,,2,2
1,Flop,1,-100,100,CHECK,0,"['2s', '8h']","['4h', '5d']","['5h', '8s', '4s']",3h,,100,100
1,Flop,0,-100,100,CHECK,0,"['2s', '8h']","['4h', '5d']","['5h', '8s', '4s']",3h,,100,100
1,Turn,1,-100,100,CHECK,0,"['2s', '8h']","['4h', '5d']","['5h', '8s', '4s', '8d']",3h,,100,100
1,Turn,0,-100,100,CHECK,0,"['2s', '8h']","['4h', '5d']","['5h', '8s', '4s', '8d']",3h,,100,100
1,River,1,-100,100,CHECK,0,"['2s', '8h']","['4h', '5d']","['5h', '8s', '4s', '8d', 'Ah']",3h,,100,100
1,River,0,-100,100,CHECK,0,"['2s', '8h']","['4h', '5d']","['5h', '8s', '4s', '8d', 'Ah']",3h,,100,100
2,Pre-Flop,0,0,0,DISCARD,0,"['6d', 'Ad']","['5d', '5s']","['9d', '8h']",,,1,1
2,Pre-Flop,0,0,0,CALL,0,"['7s', 'Ad']","['5d', '5s']","['9d', '8h']",6d,,1,1
2,Pre-Flop,1,0,0,RAISE,98,"['7s', 'Ad']","['5d', '5s']","['9d', '8h']",6d,,2,2
2,Pre-Flop,0,0,0,FOLD,0,"['7s', 'Ad']","['5d', '5s']","['9d', '8h']",6d,,2,2
3,Pre-Flop,1,-2,2,RAISE,98,"['8s', '2d']","['6h', '3h']","['4h', '4s']",,,1,1
3,Pre-Flop,0,-2,2,DISCARD,0,"['8s', '2d']","['6h', '3h']","['4h', '4s']",,,2,2
3,Pre-Flop,0,-2,2,FOLD,0,"['7d', '2d']","['6h', '3h']","['4h', '4s']",8s,,2,2
4,Pre-Flop,0,-4,4,DISCARD,0,"['As', '2s']","['4s', '8s']","['3h', 'Ah']",,,1,1
4,Pre-Flop,0,-4,4,FOLD,0,"['5d', '2s']","['4s', '8s']","['3h', 'Ah']",As,,1,1
