# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,"['6d', '8d']","['3h', '8h']","['7s', '5h']",,,1,1
1,Pre-Flop,1,-1,1,CALL,0,"['9d', '2h']","['7s', '8h']","['8s', '6d']",,,1,1
1,Pre-Flop,0,-1,1,DISCARD,0,"['9d', '2h']","['7s', '8h']","['8s', '6d']",,,2,2
1,Pre-Flop,0,-1,1,FOLD,0,"['9d', '2d']","['7s', '8h']","['8s', '6d']",2h,,2,2
2,Pre-Flop,0,-3,3,DISCARD,0,"['6s', '4s']","['8h', '5d']","['9s', '3h']",,,1,1
2,Pre-Flop,0,-3,3,FOLD,0,"['8d', '4s']","['8h', '5d']","['9s', '3h']",6s,,1,1
3,Pre-Flop,1,-4,4,CALL,0,"['3s', 'Ah']","['6d', '2h']","['3h', '9s']",,,1,1
3,Pre-Flop,0,-4,4,DISCARD,0,"['3s', 'Ah']","['6d', '2h']","['3h', '9s']",,,2,2
3,Pre-Flop,0,-4,4,FOLD,0,"['3s', '5d']","['6d', '2h']","['3h', '9s']",Ah,,2,2
4,Pre-Flop,0,-6,6,DISCARD,0,"['Ad', '5s']","['8d', '3h']","['2s', '9d']",,,1,1
4,Pre-Flop,0,-6,6,CALL,0,"['Ad', '2d']","['8d', '3h']","['2s', '9d']",5s,,1,1
4,Pre-Flop,1,-6,6,CHECK,0,"['Ad', '2d']","['8d', '3h']","['2s', '9d']",5s,,2,2
4,Flop,0,-6,6,FOLD,0,"['Ad', '2d']","['8d', '3h']","['2s', '9d', '3d']",5s,,2,2
