# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,-8,8,RAISE,30,"['8d', '9s']","['7d', '2h']","['3h', '3s']",,,1,1
0,Pre-Flop,1,-8,8,DISCARD,0,"['8d', '9s']","['7d', '2h']","['3h', '3s']",,,2,2
0,Pre-Flop,1,-8,8,RAISE,38,"['8d', '9s']","['2s', '2h']","['3h', '3s']",,7d,2,2
0,Pre-Flop,0,-8,8,FOLD,0,"['8d', '9s']","['2s', '2h']","['3h', '3s']",,7d,32,32
1,Pre-Flop,1,-40,40,CALL,0,"['5s', '2s']","['5h', '7h']","['6d', '4h']",,,1,1
1,Pre-Flop,0,-40,40,DISCARD,0,"['5s', '2s']","['5h', '7h']","['6d', '4h']",,,2,2
1,Pre-Flop,0,-40,40,RAISE,30,"['4s', '2s']","['5h', '7h']","['6d', '4h']",5s,,2,2
1,Pre-Flop,1,-40,40,FOLD,0,"['4s', '2s']","['5h', '7h']","['6d', '4h']",5s,,2,2
2,Pre-Flop,0,-38,38,FOLD,0,"['9d', '6h']","['6d', '5d']","['3h', 'Ad']",,,1,1
3,Pre-Flop,1,-39,39,RAISE,23,"['2s', '8s']","['9d', '5d']","['8h', '4h']",,,1,1
3,Pre-Flop,0,-39,39,DISCARD,0,"['2s', '8s']","['9d', '5d']","['8h', '4h']",,,2,2
3,Pre-Flop,0,-39,39,CALL,0,"['9s', '8s']","['9d', '5d']","['8h', '4h']",2s,,2,2
3,Flop,1,-39,39,DISCARD,0,"['9s', '8s']","['9d', '5d']","['8h', '4h', '6s']",2s,,25,25
3,Flop,1,-39,39,RAISE,58,"['9s', '8s']","['9d', 'Ad']","['8h', '4h', '6s']",2s,5d,25,25
3,Flop,0,-39,39,RAISE,17,"['9s', '8s']","['9d', 'Ad']","['8h', '4h', '6s']",2s,5d,25,25
3,Flop,1,-39,39,FOLD,0,"['9s', '8s']","['9d', 'Ad']","['8h', '4h', '6s']",2s,5d,83,83
4,Pre-Flop,0,44,-44,DISCARD,0,"['3s', '6h']","['7h', '7s']","['6s', '9d']",,,1,1
4,Pre-Flop,0,44,-44,FOLD,0,"['3s', '4h']","['7h', '7s']","['6s', '9d']",6h,,1,1
